Damage_20_$
7.254 
0.000 
0.000 
0.000 
0.000 
0.198 
0.604 
1.136 
0.399 
0.000 
0.000 
0.000 
0.000 
0.000 
1.004 
4.464 
0.000 
0.000 
0.000 
5.022 
179.955 
0.000 
44.361 
0.357 
0.000 
0.000 
1.953 
0.000 
4.325 
7.812 
0.176 
0.000 
0.000 
0.505 
0.000 
49.662 
0.000 
14.090 
1.382 
16.182 
0.753 
0.000 
5.022 
0.000 
0.788 
18.833 
1.357 
5.162 
0.020 
0.992 
0.000 
40.316 
6.557 
9.207 
0.870 
5.580 
0.113 
0.183 
0.691 
0.573 
3.906 
3.069 
5.301 
1.535 
0.004 
72.959 
1.953 
0.000 
8.789 
0.176 
1.535 
0.000 
1.674 
22.739 
13.532 
21.623 
10.463 
3.069 
0.000 
28.737 
