,Sim_Losses,default_rank,EP,Year
0,266.0274467984516,1.0,9.99990000099999e-06,100001.0
99,187.76071119793647,100.0,0.000999990000099999,1000.0
199,169.47851032870423,200.0,0.001999980000199998,500.0
399,148.73440442567903,400.0,0.003999960000399996,250.0
498,142.27839883320542,499.0,0.004989950100498995,200.0
499,142.1963623693784,500.0,0.004999950000499995,200.0
500,142.04187392215056,501.0,0.005009949900500995,200.0
995,123.70086217838654,996.0,0.00995990040099599,100.0
996,123.7003072114962,997.0,0.00996990030099699,100.0
997,123.69935364344946,998.0,0.00997990020099799,100.0
998,123.69260379982178,999.0,0.00998990010099899,100.0
999,123.6487203237453,1000.0,0.00999990000099999,100.0
1000,123.64043288049025,1001.0,0.01000989990100099,100.0
1001,123.63401161597085,1002.0,0.01001989980100199,100.0
1002,123.59052395009499,1003.0,0.01002989970100299,100.0
1003,123.58185586997479,1004.0,0.01003989960100399,100.0
1004,123.56373239165478,1005.0,0.01004989950100499,100.0
1980,103.90702372084277,1981.0,0.01980980190198098,50.0
1981,103.90528930900292,1982.0,0.01981980180198198,50.0
1982,103.89409991163599,1983.0,0.01982980170198298,50.0
1983,103.86233897598605,1984.0,0.01983980160198398,50.0
1984,103.85248711870207,1985.0,0.01984980150198498,50.0
1985,103.85087714582102,1986.0,0.01985980140198598,50.0
1986,103.84987037882522,1987.0,0.01986980130198698,50.0
1987,103.82446323351635,1988.0,0.01987980120198798,50.0
1988,103.82110280066605,1989.0,0.01988980110198898,50.0
1989,103.79337285280263,1990.0,0.01989980100198998,50.0
1990,103.79185682333623,1991.0,0.01990980090199098,50.0
1991,103.77754420577715,1992.0,0.01991980080199198,50.0
1992,103.71733821833475,1993.0,0.01992980070199298,50.0
1993,103.69403872117488,1994.0,0.01993980060199398,50.0
1994,103.67621026097534,1995.0,0.01994980050199498,50.0
1995,103.67278299041544,1996.0,0.01995980040199598,50.0
1996,103.66985237056006,1997.0,0.01996980030199698,50.0
1997,103.66576283796502,1998.0,0.01997980020199798,50.0
1998,103.65136107085553,1999.0,0.01998980010199898,50.0
1999,103.64807981641404,2000.0,0.01999980000199998,50.0
2000,103.63504221535207,2001.0,0.02000979990200098,50.0
2001,103.56971562898835,2002.0,0.02001979980200198,50.0
2002,103.50605716574316,2003.0,0.02002979970200298,50.0
2003,103.50062324605197,2004.0,0.02003979960200398,50.0
2004,103.49940715242914,2005.0,0.02004979950200498,50.0
2005,103.48649731918765,2006.0,0.02005979940200598,50.0
2006,103.48411569974868,2007.0,0.02006979930200698,50.0
2007,103.47909303811248,2008.0,0.02007979920200798,50.0
2008,103.47542515526149,2009.0,0.02008979910200898,50.0
2009,103.47406695567693,2010.0,0.02009979900200998,50.0
2010,103.46836236472694,2011.0,0.02010979890201098,50.0
2011,103.44016480577622,2012.0,0.02011979880201198,50.0
2012,103.42527387168164,2013.0,0.02012979870201298,50.0
2013,103.39407367537487,2014.0,0.02013979860201398,50.0
2014,103.36566817048018,2015.0,0.020149798502014978,50.0
2015,103.35983388272919,2016.0,0.02015979840201598,50.0
2016,103.3567720475742,2017.0,0.02016979830201698,50.0
2017,103.3354354696144,2018.0,0.02017979820201798,50.0
2018,103.29894392576335,2019.0,0.02018979810201898,50.0
2019,103.28055705934541,2020.0,0.02019979800201998,50.0
3921,81.25595144398444,3922.0,0.03921960780392196,25.0
3922,81.24463418399048,3923.0,0.03922960770392296,25.0
3923,81.23928979350603,3924.0,0.03923960760392396,25.0
3924,81.22953488346567,3925.0,0.03924960750392496,25.0
3925,81.2267853508913,3926.0,0.039259607403925964,25.0
3926,81.22004609599011,3927.0,0.03926960730392696,25.0
3927,81.21049545629768,3928.0,0.03927960720392796,25.0
3928,81.2084577170339,3929.0,0.03928960710392896,25.0
3929,81.19676085797705,3930.0,0.03929960700392996,25.0
3930,81.19185452093694,3931.0,0.03930960690393096,25.0
3931,81.16275123333692,3932.0,0.03931960680393196,25.0
3932,81.160490909732,3933.0,0.039329606703932964,25.0
3933,81.15116705565873,3934.0,0.03933960660393396,25.0
3934,81.14442329573357,3935.0,0.03934960650393496,25.0
3935,81.14064654126807,3936.0,0.03935960640393596,25.0
3936,81.1330720680016,3937.0,0.03936960630393696,25.0
3937,81.1308404690753,3938.0,0.03937960620393796,25.0
3938,81.12844685636203,3939.0,0.03938960610393896,25.0
3939,81.12183247883445,3940.0,0.03939960600393996,25.0
3940,81.11810206034261,3941.0,0.03940960590394096,25.0
3941,81.11613003002437,3942.0,0.03941960580394196,25.0
3942,81.10705540227802,3943.0,0.03942960570394296,25.0
3943,81.09610877862352,3944.0,0.03943960560394396,25.0
3944,81.0750482194844,3945.0,0.03944960550394496,25.0
3945,81.066401693873,3946.0,0.03945960540394596,25.0
3946,81.06369928987718,3947.0,0.03946960530394696,25.0
3947,81.05822520602342,3948.0,0.039479605203947964,25.0
3948,81.05423691603734,3949.0,0.03948960510394896,25.0
3949,81.04403153641461,3950.0,0.03949960500394996,25.0
3950,81.04161278187496,3951.0,0.03950960490395096,25.0
3951,81.02892106712494,3952.0,0.03951960480395196,25.0
3952,81.0261197263129,3953.0,0.03952960470395296,25.0
3953,81.02195547394045,3954.0,0.03953960460395396,25.0
3954,81.00539935621684,3955.0,0.03954960450395496,25.0
3955,81.00062598159587,3956.0,0.03955960440395596,25.0
3956,80.98118375832684,3957.0,0.03956960430395696,25.0
3957,80.96362868791135,3958.0,0.03957960420395796,25.0
3958,80.96185561901746,3959.0,0.03958960410395896,25.0
3959,80.95657351158579,3960.0,0.03959960400395996,25.0
3960,80.95569646876721,3961.0,0.03960960390396096,25.0
3961,80.9513878168243,3962.0,0.03961960380396196,25.0
3962,80.94637426327971,3963.0,0.039629603703962964,25.0
3963,80.93935044265615,3964.0,0.03963960360396396,25.0
3964,80.93904591551713,3965.0,0.03964960350396496,25.0
3965,80.93258461861133,3966.0,0.03965960340396596,25.0
3966,80.92647045372574,3967.0,0.03966960330396696,25.0
3967,80.9191651371899,3968.0,0.03967960320396796,25.0
3968,80.91591790946293,3969.0,0.03968960310396896,25.0
3969,80.91309341564198,3970.0,0.03969960300396996,25.0
3970,80.9058397242319,3971.0,0.03970960290397096,25.0
3971,80.8990053211225,3972.0,0.03971960280397196,25.0
3972,80.89478264765856,3973.0,0.03972960270397296,25.0
3973,80.8782363879676,3974.0,0.03973960260397396,25.0
3974,80.85398223908096,3975.0,0.03974960250397496,25.0
3975,80.84402154559757,3976.0,0.03975960240397596,25.0
3976,80.83464119306765,3977.0,0.03976960230397696,25.0
3977,80.82944626598855,3978.0,0.03977960220397796,25.0
3978,80.82355329478278,3979.0,0.03978960210397896,25.0
3979,80.81322126602805,3980.0,0.03979960200397996,25.0
3980,80.80138411260683,3981.0,0.03980960190398096,25.0
3981,80.8012467193937,3982.0,0.03981960180398196,25.0
3982,80.7964470309816,3983.0,0.03982960170398296,25.0
3983,80.78911424541865,3984.0,0.03983960160398396,25.0
3984,80.78607938371768,3985.0,0.03984960150398496,25.0
3985,80.78386196970287,3986.0,0.03985960140398596,25.0
3986,80.77535567402957,3987.0,0.03986960130398696,25.0
3987,80.76503795228774,3988.0,0.03987960120398796,25.0
3988,80.75908624805369,3989.0,0.03988960110398896,25.0
3989,80.75394168966672,3990.0,0.03989960100398996,25.0
3990,80.75240942686638,3991.0,0.03990960090399096,25.0
3991,80.74831523543993,3992.0,0.03991960080399196,25.0
3992,80.7373867057627,3993.0,0.03992960070399296,25.0
3993,80.72666709296215,3994.0,0.03993960060399396,25.0
3994,80.72438713994973,3995.0,0.03994960050399496,25.0
3995,80.72305106092938,3996.0,0.03995960040399596,25.0
3996,80.71773490422656,3997.0,0.03996960030399696,25.0
3997,80.69674504097934,3998.0,0.03997960020399796,25.0
3998,80.68830096791756,3999.0,0.03998960010399896,25.0
3999,80.67772794393818,4000.0,0.03999960000399996,25.0
4000,80.67531733422035,4001.0,0.04000959990400096,25.0
4001,80.66022331445336,4002.0,0.04001959980400196,25.0
4002,80.65878474739469,4003.0,0.04002959970400296,25.0
4003,80.65791109786585,4004.0,0.04003959960400396,25.0
4004,80.64660278984259,4005.0,0.04004959950400496,25.0
4005,80.63824945957856,4006.0,0.04005959940400596,25.0
4006,80.63258670137256,4007.0,0.04006959930400696,25.0
4007,80.62115716763566,4008.0,0.04007959920400796,25.0
4008,80.61883602294243,4009.0,0.04008959910400896,25.0
4009,80.60464056692618,4010.0,0.04009959900400996,25.0
4010,80.59156507724639,4011.0,0.04010959890401096,25.0
4011,80.57883520537192,4012.0,0.04011959880401196,25.0
4012,80.56789681019883,4013.0,0.04012959870401296,25.0
4013,80.55602703877511,4014.0,0.04013959860401396,25.0
4014,80.53860166270681,4015.0,0.040149598504014956,25.0
4015,80.5357457149064,4016.0,0.04015959840401596,25.0
4016,80.52841718630108,4017.0,0.04016959830401696,25.0
4017,80.51785720676891,4018.0,0.04017959820401796,25.0
4018,80.51632734683469,4019.0,0.04018959810401896,25.0
4019,80.50497405520574,4020.0,0.04019959800401996,25.0
4020,80.49457505219053,4021.0,0.04020959790402096,25.0
4021,80.49161035961374,4022.0,0.04021959780402196,25.0
4022,80.49076052036546,4023.0,0.04022959770402296,25.0
4023,80.48622006212423,4024.0,0.04023959760402396,25.0
4024,80.48430474557341,4025.0,0.04024959750402496,25.0
4025,80.48430024629397,4026.0,0.04025959740402596,25.0
4026,80.48112426847572,4027.0,0.04026959730402696,25.0
4027,80.476917141661,4028.0,0.04027959720402796,25.0
4028,80.4726483754516,4029.0,0.04028959710402896,25.0
4029,80.46523532300375,4030.0,0.040299597004029956,25.0
4030,80.45691430279467,4031.0,0.04030959690403096,25.0
4031,80.44001978221279,4032.0,0.04031959680403196,25.0
4032,80.41425475771308,4033.0,0.04032959670403296,25.0
4033,80.41060034658894,4034.0,0.04033959660403396,25.0
4034,80.4103727767578,4035.0,0.04034959650403496,25.0
4035,80.40580730402974,4036.0,0.04035959640403596,25.0
4036,80.39447127863436,4037.0,0.04036959630403696,25.0
4037,80.36087959737148,4038.0,0.04037959620403796,25.0
4038,80.36052176724593,4039.0,0.04038959610403896,25.0
4039,80.35971523098746,4040.0,0.04039959600403996,25.0
4040,80.35279039336703,4041.0,0.04040959590404096,25.0
4041,80.34468846703234,4042.0,0.04041959580404196,25.0
4042,80.33749631898655,4043.0,0.04042959570404296,25.0
4043,80.31413903791707,4044.0,0.04043959560404396,25.0
