Sim_Losses,default_rank,EP,Year
149.9955497,200,0.00199998,500
131.3725111,400,0.00399996,250
104.4384633,996,0.0099599,100
104.3928149,997,0.0099699,100
104.3718572,998,0.0099799,100
104.3346487,999,0.0099899,100
104.308727,1000,0.0099999,100
104.2737667,1001,0.0100099,100
104.2531068,1002,0.0100199,100
104.195898,1003,0.0100299,100
104.1657834,1004,0.0100399,100
104.1440117,1005,0.0100499,100
83.95362536,1981,0.019809802,50
83.93117005,1982,0.019819802,50
83.90257303,1983,0.019829802,50
83.90126111,1984,0.019839802,50
83.84304152,1985,0.019849802,50
83.83333225,1986,0.019859801,50
83.7945436,1987,0.019869801,50
83.79208778,1988,0.019879801,50
83.74495432,1989,0.019889801,50
83.73411249,1990,0.019899801,50
83.71287889,1991,0.019909801,50
83.70470665,1992,0.019919801,50
83.66852364,1993,0.019929801,50
83.6559314,1994,0.019939801,50
83.65379462,1995,0.019949801,50
83.63782318,1996,0.0199598,50
83.62800319,1997,0.0199698,50
83.60273632,1998,0.0199798,50
83.59986959,1999,0.0199898,50
83.59656387,2000,0.0199998,50
83.59047592,2001,0.0200098,50
83.5759503,2002,0.0200198,50
83.57235659,2003,0.0200298,50
83.5677816,2004,0.0200398,50
83.56588849,2005,0.0200498,50
83.56316213,2006,0.020059799,50
83.52455164,2007,0.020069799,50
83.52404891,2008,0.020079799,50
83.51085541,2009,0.020089799,50
83.50626196,2010,0.020099799,50
83.5001148,2011,0.020109799,50
83.44812413,2012,0.020119799,50
83.44395846,2013,0.020129799,50
83.43410834,2014,0.020139799,50
83.43383837,2015,0.020149799,50
83.43131075,2016,0.020159798,50
83.41448783,2017,0.020169798,50
83.41211705,2018,0.020179798,50
83.39112757,2019,0.020189798,50
83.37227218,2020,0.020199798,50
63.25785079,3922,0.039219608,25
63.25047286,3923,0.039229608,25
63.24661345,3924,0.039239608,25
63.24593317,3925,0.039249608,25
63.23539254,3926,0.039259607,25
63.22361936,3927,0.039269607,25
63.20672454,3928,0.039279607,25
63.20022128,3929,0.039289607,25
63.18608845,3930,0.039299607,25
63.18581105,3931,0.039309607,25
63.1818267,3932,0.039319607,25
63.1749291,3933,0.039329607,25
63.17483062,3934,0.039339607,25
63.16974285,3935,0.039349607,25
63.16904265,3936,0.039359606,25
63.15888128,3937,0.039369606,25
63.15656741,3938,0.039379606,25
63.1352475,3939,0.039389606,25
63.12969599,3940,0.039399606,25
63.12157588,3941,0.039409606,25
63.10890962,3942,0.039419606,25
63.09282948,3943,0.039429606,25
63.0812272,3944,0.039439606,25
63.07440049,3945,0.039449606,25
63.06115316,3946,0.039459605,25
63.05742748,3947,0.039469605,25
63.05173905,3948,0.039479605,25
63.03310413,3949,0.039489605,25
63.03009277,3950,0.039499605,25
63.02214901,3951,0.039509605,25
63.02070442,3952,0.039519605,25
63.01405139,3953,0.039529605,25
62.99684016,3954,0.039539605,25
62.99235113,3955,0.039549605,25
62.98338889,3956,0.039559604,25
62.97890358,3957,0.039569604,25
62.97838685,3958,0.039579604,25
62.97424075,3959,0.039589604,25
62.95748476,3960,0.039599604,25
62.95682417,3961,0.039609604,25
62.94523247,3962,0.039619604,25
62.9423628,3963,0.039629604,25
62.94193405,3964,0.039639604,25
62.92890404,3965,0.039649604,25
62.92276119,3966,0.039659603,25
62.91802822,3967,0.039669603,25
62.91443948,3968,0.039679603,25
62.91166183,3969,0.039689603,25
62.89798965,3970,0.039699603,25
62.89517557,3971,0.039709603,25
62.89374624,3972,0.039719603,25
62.88620279,3973,0.039729603,25
62.88437239,3974,0.039739603,25
62.88290201,3975,0.039749603,25
62.87949209,3976,0.039759602,25
62.8741886,3977,0.039769602,25
62.8657603,3978,0.039779602,25
62.86306786,3979,0.039789602,25
62.86227776,3980,0.039799602,25
62.85623474,3981,0.039809602,25
62.85581939,3982,0.039819602,25
62.84539833,3983,0.039829602,25
62.84199756,3984,0.039839602,25
62.83019825,3985,0.039849602,25
62.81961099,3986,0.039859601,25
62.81212151,3987,0.039869601,25
62.80133178,3988,0.039879601,25
62.79964364,3989,0.039889601,25
62.79261055,3990,0.039899601,25
62.79253668,3991,0.039909601,25
62.76533752,3992,0.039919601,25
62.76270865,3993,0.039929601,25
62.76183712,3994,0.039939601,25
62.7588296,3995,0.039949601,25
62.75222055,3996,0.0399596,25
62.74757759,3997,0.0399696,25
62.73215324,3998,0.0399796,25
62.73053809,3999,0.0399896,25
62.73001929,4000,0.0399996,25
62.71893412,4001,0.0400096,25
62.70143026,4002,0.0400196,25
62.6918556,4003,0.0400296,25
62.6896988,4004,0.0400396,25
62.67749734,4005,0.0400496,25
62.67728066,4006,0.040059599,25
62.67339605,4007,0.040069599,25
62.66816099,4008,0.040079599,25
62.66285214,4009,0.040089599,25
62.64470638,4010,0.040099599,25
62.63809016,4011,0.040109599,25
62.62941524,4012,0.040119599,25
62.62726344,4013,0.040129599,25
62.62403567,4014,0.040139599,25
62.61170781,4015,0.040149599,25
62.60448866,4016,0.040159598,25
62.60392191,4017,0.040169598,25
62.60158329,4018,0.040179598,25
62.59572978,4019,0.040189598,25
62.5887875,4020,0.040199598,25
62.58735297,4021,0.040209598,25
62.57648717,4022,0.040219598,25
62.5524725,4023,0.040229598,25
62.54618857,4024,0.040239598,25
62.52286377,4025,0.040249598,25
62.51794414,4026,0.040259597,25
62.51521584,4027,0.040269597,25
62.51381969,4028,0.040279597,25
62.50691459,4029,0.040289597,25
62.48795918,4030,0.040299597,25
62.48172185,4031,0.040309597,25
62.47295554,4032,0.040319597,25
62.47243865,4033,0.040329597,25
62.47063876,4034,0.040339597,25
62.45822446,4035,0.040349597,25
62.45218459,4036,0.040359596,25
62.44914568,4037,0.040369596,25
62.44670776,4038,0.040379596,25
62.44459484,4039,0.040389596,25
62.41528403,4040,0.040399596,25
62.39450471,4041,0.040409596,25
62.38621003,4042,0.040419596,25
