index,id,name,date,record_identifier,status_of_system,latitude,longitude,lat/long,maximum_sustained_wind_knots,maximum_pressure,,1.85,Velocity,damage ratio,,county,property value,"$19,460,674,157.30 ",,,,,
,,,,,,,,,,,,,,,,,,,,,45,Okaloosa County,"$270,401 "
,,,,,,,,,,,,,,,,,,,,,46,Okeechobee County,"$115,186 "
,,,,,,,,,,,,,,,,,,,,,47,Orange County,"$288,408 "
,,,,,,,,,,,,,,,,,,,,,48,Osceola County,"$250,343 "
,,,,,,,,,,,,,,,,,,,,,49,Palm Beach County,"$339,226 "
,,,,,,,,,,,,,,,,,,,,,50,Pasco County,"$214,575 "
,,,,,,,,,,,,,,,,,,,,,51,Pinellas County,"$258,339 "
,,,,,,,,,,,,,,,,,,,,,52,Polk County,"$196,031 "
,,,,,,,,,,,,,,,,,,,,,53,Putnam County,"$109,101 "
,,,,,,,,,,,,,,,,,,,,,54,St. Johns County,"$368,792 "
,,,,,,,,,,,,,,,,,,,,,55,St. Lucie County,"$249,703 "
,,,,,,,,,,,,,,,,,,,,,56,Santa Rosa County,"$248,977 "
,,,,,,,,,,,,,,,,,,,,,57,Sarasota County,"$304,351 "
,,,,,,,,,,,,,,,,,,,,,58,Seminole County,"$299,331 "
,,,,,,,,,,,,,,,,,,,,,59,Sumter County,"$306,438 "
,,,,,,,,,,,,,,,,,,,,,60,Suwannee County,"$110,079 "
,,,,,,,,,,,,,,,,,,,,,61,Taylor County,"$92,475 "
,,,,,,,,,,,,,,,,,,,,,62,Union County,"$128,661 "
,,,,,,,,,,,,,,,,,,,,,63,Volusia County,"$228,766 "
,,,,,,,,,,,,,,,,,,,,,64,Wakulla County,"$153,639 "
,,,,,,,,,,,,,,,,,,,,,65,Walton County,"$265,362 "
,,,,,,,,,,,,,,,,,,,,,66,Washington County,"$123,010 "
