,Sim_Losses,default_rank,EP,Year
0,268.0645184995958,1.0,9.99990000099999e-06,100001.0
99,168.12498956572165,100.0,0.000999990000099999,1000.0
199,152.05334787497202,200.0,0.001999980000199998,500.0
399,133.96250276447466,400.0,0.003999960000399996,250.0
498,127.59219107825928,499.0,0.004989950100498995,200.0
499,127.50599698380813,500.0,0.004999950000499995,200.0
500,127.37073110139465,501.0,0.005009949900500995,200.0
995,107.87927964553978,996.0,0.00995990040099599,100.0
996,107.86625154774684,997.0,0.00996990030099699,100.0
997,107.79035672838556,998.0,0.00997990020099799,100.0
998,107.77110669699664,999.0,0.00998990010099899,100.0
999,107.72267410926298,1000.0,0.00999990000099999,100.0
1000,107.61136577138042,1001.0,0.01000989990100099,100.0
1001,107.60130077640079,1002.0,0.01001989980100199,100.0
1002,107.56215654123358,1003.0,0.01002989970100299,100.0
1003,107.55440251764416,1004.0,0.01003989960100399,100.0
1004,107.53460960993704,1005.0,0.01004989950100499,100.0
1980,85.9854356702341,1981.0,0.01980980190198098,50.0
1981,85.97095063644366,1982.0,0.01981980180198198,50.0
1982,85.95040506887169,1983.0,0.01982980170198298,50.0
1983,85.94674993426068,1984.0,0.01983980160198398,50.0
1984,85.93437116296211,1985.0,0.01984980150198498,50.0
1985,85.90856072453998,1986.0,0.01985980140198598,50.0
1986,85.88929100699457,1987.0,0.01986980130198698,50.0
1987,85.88716566894905,1988.0,0.01987980120198798,50.0
1988,85.88011423044246,1989.0,0.01988980110198898,50.0
1989,85.87973614176344,1990.0,0.01989980100198998,50.0
1990,85.85675307357869,1991.0,0.01990980090199098,50.0
1991,85.75328815834965,1992.0,0.01991980080199198,50.0
1992,85.74759420925294,1993.0,0.01992980070199298,50.0
1993,85.7429644834948,1994.0,0.01993980060199398,50.0
1994,85.73086321010496,1995.0,0.01994980050199498,50.0
1995,85.71997812187931,1996.0,0.01995980040199598,50.0
1996,85.69263041089748,1997.0,0.01996980030199698,50.0
1997,85.68847031585527,1998.0,0.01997980020199798,50.0
1998,85.64779245723506,1999.0,0.01998980010199898,50.0
1999,85.6426891628345,2000.0,0.01999980000199998,50.0
2000,85.64144735044391,2001.0,0.02000979990200098,50.0
2001,85.63408029215037,2002.0,0.02001979980200198,50.0
2002,85.6288519328278,2003.0,0.02002979970200298,50.0
2003,85.61075269648285,2004.0,0.02003979960200398,50.0
2004,85.58160327085336,2005.0,0.02004979950200498,50.0
2005,85.56747202901408,2006.0,0.02005979940200598,50.0
2006,85.53162929547801,2007.0,0.02006979930200698,50.0
2007,85.52989082293894,2008.0,0.02007979920200798,50.0
2008,85.52560140201307,2009.0,0.02008979910200898,50.0
2009,85.41783486942239,2010.0,0.02009979900200998,50.0
2010,85.39083461897009,2011.0,0.02010979890201098,50.0
2011,85.36657651327289,2012.0,0.02011979880201198,50.0
2012,85.36387641895074,2013.0,0.02012979870201298,50.0
2013,85.35981286507122,2014.0,0.02013979860201398,50.0
2014,85.35972317784125,2015.0,0.020149798502014978,50.0
2015,85.35283092349954,2016.0,0.02015979840201598,50.0
2016,85.34341825153228,2017.0,0.02016979830201698,50.0
2017,85.32721995010972,2018.0,0.02017979820201798,50.0
2018,85.30139113507046,2019.0,0.02018979810201898,50.0
2019,85.30078188552974,2020.0,0.02019979800201998,50.0
3921,64.13115230403655,3922.0,0.03921960780392196,25.0
3922,64.12396387745572,3923.0,0.03922960770392296,25.0
3923,64.12152110172589,3924.0,0.03923960760392396,25.0
3924,64.1054643514918,3925.0,0.03924960750392496,25.0
3925,64.09611323195531,3926.0,0.039259607403925964,25.0
3926,64.09006298527592,3927.0,0.03926960730392696,25.0
3927,64.0839415961239,3928.0,0.03927960720392796,25.0
3928,64.08215084669266,3929.0,0.03928960710392896,25.0
3929,64.0814917492827,3930.0,0.03929960700392996,25.0
3930,64.07330235603773,3931.0,0.03930960690393096,25.0
3931,64.0711803846838,3932.0,0.03931960680393196,25.0
3932,64.06785877439593,3933.0,0.039329606703932964,25.0
3933,64.06699191959825,3934.0,0.03933960660393396,25.0
3934,64.05335809561662,3935.0,0.03934960650393496,25.0
3935,64.04600212116867,3936.0,0.03935960640393596,25.0
3936,64.03925673862742,3937.0,0.03936960630393696,25.0
3937,64.03848861640118,3938.0,0.03937960620393796,25.0
3938,64.03772934616744,3939.0,0.03938960610393896,25.0
3939,64.02789287936716,3940.0,0.03939960600393996,25.0
3940,64.02209721728651,3941.0,0.03940960590394096,25.0
3941,64.0216724028011,3942.0,0.03941960580394196,25.0
3942,64.0022865965384,3943.0,0.03942960570394296,25.0
3943,63.994357826074136,3944.0,0.03943960560394396,25.0
3944,63.98844042769437,3945.0,0.03944960550394496,25.0
3945,63.984826318025995,3946.0,0.03945960540394596,25.0
3946,63.98234901948989,3947.0,0.03946960530394696,25.0
3947,63.98230990556338,3948.0,0.039479605203947964,25.0
3948,63.97280865174047,3949.0,0.03948960510394896,25.0
3949,63.947116818169945,3950.0,0.03949960500394996,25.0
3950,63.931476237816526,3951.0,0.03950960490395096,25.0
3951,63.93091214302281,3952.0,0.03951960480395196,25.0
3952,63.92496947309478,3953.0,0.03952960470395296,25.0
3953,63.908279984770736,3954.0,0.03953960460395396,25.0
3954,63.903885621120494,3955.0,0.03954960450395496,25.0
3955,63.90179736285664,3956.0,0.03955960440395596,25.0
3956,63.897530504663855,3957.0,0.03956960430395696,25.0
3957,63.87645459296149,3958.0,0.03957960420395796,25.0
3958,63.87357490428502,3959.0,0.03958960410395896,25.0
3959,63.867307756600866,3960.0,0.03959960400395996,25.0
3960,63.85011527244306,3961.0,0.03960960390396096,25.0
3961,63.848160841472705,3962.0,0.03961960380396196,25.0
3962,63.838410545818334,3963.0,0.039629603703962964,25.0
3963,63.83256636932404,3964.0,0.03963960360396396,25.0
3964,63.819837203816235,3965.0,0.03964960350396496,25.0
3965,63.81413496688063,3966.0,0.03965960340396596,25.0
3966,63.80328006810153,3967.0,0.03966960330396696,25.0
3967,63.80287885167502,3968.0,0.03967960320396796,25.0
3968,63.787281029747774,3969.0,0.03968960310396896,25.0
3969,63.77593339182896,3970.0,0.03969960300396996,25.0
3970,63.7706985428286,3971.0,0.03970960290397096,25.0
3971,63.769030505289265,3972.0,0.03971960280397196,25.0
3972,63.76589292152197,3973.0,0.03972960270397296,25.0
3973,63.75450970914608,3974.0,0.03973960260397396,25.0
3974,63.7516004419319,3975.0,0.03974960250397496,25.0
3975,63.74627970036612,3976.0,0.03975960240397596,25.0
3976,63.72418995988122,3977.0,0.03976960230397696,25.0
3977,63.723723534213335,3978.0,0.03977960220397796,25.0
3978,63.718428443662845,3979.0,0.03978960210397896,25.0
3979,63.71257434939746,3980.0,0.03979960200397996,25.0
3980,63.70672107492658,3981.0,0.03980960190398096,25.0
3981,63.70555575397197,3982.0,0.03981960180398196,25.0
3982,63.70001291259197,3983.0,0.03982960170398296,25.0
3983,63.69363445570879,3984.0,0.03983960160398396,25.0
3984,63.69015630727071,3985.0,0.03984960150398496,25.0
3985,63.675591540076766,3986.0,0.03985960140398596,25.0
3986,63.673034841645766,3987.0,0.03986960130398696,25.0
3987,63.665979664535755,3988.0,0.03987960120398796,25.0
3988,63.662081949469595,3989.0,0.03988960110398896,25.0
3989,63.65818733129106,3990.0,0.03989960100398996,25.0
3990,63.648664251332775,3991.0,0.03990960090399096,25.0
3991,63.64664718948772,3992.0,0.03991960080399196,25.0
3992,63.64529431685381,3993.0,0.03992960070399296,25.0
3993,63.637483925407054,3994.0,0.03993960060399396,25.0
3994,63.636479128912455,3995.0,0.03994960050399496,25.0
3995,63.62669843895202,3996.0,0.03995960040399596,25.0
3996,63.615445588093934,3997.0,0.03996960030399696,25.0
3997,63.608970426710805,3998.0,0.03997960020399796,25.0
3998,63.60042808031373,3999.0,0.03998960010399896,25.0
3999,63.59334690820813,4000.0,0.03999960000399996,25.0
4000,63.58195892263676,4001.0,0.04000959990400096,25.0
4001,63.57922999227769,4002.0,0.04001959980400196,25.0
4002,63.55073094000436,4003.0,0.04002959970400296,25.0
4003,63.55055497760408,4004.0,0.04003959960400396,25.0
4004,63.54525654385557,4005.0,0.04004959950400496,25.0
4005,63.54322774475767,4006.0,0.04005959940400596,25.0
4006,63.541155614413185,4007.0,0.04006959930400696,25.0
4007,63.528793509702254,4008.0,0.04007959920400796,25.0
4008,63.51188269039793,4009.0,0.04008959910400896,25.0
4009,63.50597243581714,4010.0,0.04009959900400996,25.0
4010,63.47092988942948,4011.0,0.04010959890401096,25.0
4011,63.47012854223222,4012.0,0.04011959880401196,25.0
4012,63.467955802942114,4013.0,0.04012959870401296,25.0
4013,63.458283066294825,4014.0,0.04013959860401396,25.0
4014,63.456224851737716,4015.0,0.040149598504014956,25.0
4015,63.44230467514106,4016.0,0.04015959840401596,25.0
4016,63.43879111257232,4017.0,0.04016959830401696,25.0
4017,63.43808012841494,4018.0,0.04017959820401796,25.0
4018,63.437760926088785,4019.0,0.04018959810401896,25.0
4019,63.42952743444447,4020.0,0.04019959800401996,25.0
4020,63.4293815156054,4021.0,0.04020959790402096,25.0
4021,63.42479386676675,4022.0,0.04021959780402196,25.0
4022,63.41777161884205,4023.0,0.04022959770402296,25.0
4023,63.41643765853449,4024.0,0.04023959760402396,25.0
4024,63.41057878368375,4025.0,0.04024959750402496,25.0
4025,63.409076139527954,4026.0,0.04025959740402596,25.0
4026,63.39381995188285,4027.0,0.04026959730402696,25.0
4027,63.38779315809974,4028.0,0.04027959720402796,25.0
4028,63.37941732262537,4029.0,0.04028959710402896,25.0
4029,63.36618257211357,4030.0,0.040299597004029956,25.0
4030,63.36471218841236,4031.0,0.04030959690403096,25.0
4031,63.36020648526911,4032.0,0.04031959680403196,25.0
4032,63.35490247275848,4033.0,0.04032959670403296,25.0
4033,63.354345893438065,4034.0,0.04033959660403396,25.0
4034,63.347544539071606,4035.0,0.04034959650403496,25.0
4035,63.32470203552427,4036.0,0.04035959640403596,25.0
4036,63.319977183476915,4037.0,0.04036959630403696,25.0
4037,63.30032995031916,4038.0,0.04037959620403796,25.0
4038,63.29927916112969,4039.0,0.04038959610403896,25.0
4039,63.283692441560646,4040.0,0.04039959600403996,25.0
4040,63.27362504002994,4041.0,0.04040959590404096,25.0
4041,63.26006900890956,4042.0,0.04041959580404196,25.0
4042,63.257319371581985,4043.0,0.04042959570404296,25.0
4043,63.25544875268828,4044.0,0.04043959560404396,25.0
4044,63.25169863035238,4045.0,0.040449595504044956,25.0
4045,63.24896955590178,4046.0,0.04045959540404596,25.0
4046,63.23993494039085,4047.0,0.04046959530404696,25.0
4047,63.22753556551871,4048.0,0.04047959520404796,25.0
4048,63.22653087155626,4049.0,0.04048959510404896,25.0
4049,63.22593616697536,4050.0,0.04049959500404996,25.0
4050,63.21543973009328,4051.0,0.04050959490405096,25.0
4051,63.18734851891621,4052.0,0.040519594804051956,25.0
4052,63.168826426411535,4053.0,0.04052959470405296,25.0
4053,63.159340297297305,4054.0,0.04053959460405396,25.0
4054,63.15894260062947,4055.0,0.04054959450405496,25.0
4055,63.15591932292027,4056.0,0.04055959440405596,25.0
4056,63.15323337507412,4057.0,0.04056959430405696,25.0
4057,63.149860213383064,4058.0,0.04057959420405796,25.0
4058,63.14403993626729,4059.0,0.04058959410405896,25.0
4059,63.126499088234766,4060.0,0.040599594004059956,25.0
4060,63.110393249206055,4061.0,0.04060959390406096,25.0
4061,63.086493929055464,4062.0,0.04061959380406196,25.0
4062,63.08129354749005,4063.0,0.04062959370406296,25.0
4063,63.0676056018189,4064.0,0.04063959360406396,25.0
4064,63.06729504657626,4065.0,0.04064959350406496,25.0
4065,63.06528703143792,4066.0,0.04065959340406596,25.0
4066,63.06252866981417,4067.0,0.040669593304066956,25.0
4067,63.04327685430198,4068.0,0.04067959320406796,25.0
4068,63.03949758935268,4069.0,0.04068959310406896,25.0
4069,63.03825380058959,4070.0,0.04069959300406996,25.0
4070,63.007315327577686,4071.0,0.04070959290407096,25.0
4071,63.004341801616604,4072.0,0.04071959280407196,25.0
4072,62.99617031316591,4073.0,0.04072959270407296,25.0
4073,62.98386515933633,4074.0,0.04073959260407396,25.0
4074,62.98185238609586,4075.0,0.04074959250407496,25.0
4075,62.98171155704745,4076.0,0.04075959240407596,25.0
4076,62.95787717451482,4077.0,0.04076959230407696,25.0
4077,62.94936954980773,4078.0,0.04077959220407796,25.0
4078,62.94198707949852,4079.0,0.04078959210407896,25.0
4079,62.941292548218044,4080.0,0.04079959200407996,25.0
4080,62.9409977128426,4081.0,0.04080959190408096,25.0
9523,37.96946154183279,9524.0,0.09523904760952391,10.0
9524,37.96848377581147,9525.0,0.0952490475095249,10.0
9525,37.96569132927521,9526.0,0.0952590474095259,10.0
9526,37.963918265950326,9527.0,0.0952690473095269,10.0
9527,37.962135999157795,9528.0,0.0952790472095279,10.0
9528,37.95467818027255,9529.0,0.0952890471095289,10.0
9529,37.954304354335214,9530.0,0.0952990470095299,10.0
9530,37.95364205914127,9531.0,0.0953090469095309,10.0
9531,37.95323885439465,9532.0,0.0953190468095319,10.0
9532,37.95262585651038,9533.0,0.0953290467095329,10.0
9533,37.945277788310065,9534.0,0.0953390466095339,10.0
9534,37.94132615874911,9535.0,0.09534904650953491,10.0
9535,37.93689574158117,9536.0,0.09535904640953591,10.0
