,Sim_Losses,default_rank,EP,Year
2006,84.08889329977626,2007.0,0.02006979930200698,50.0
2007,84.08223353646326,2008.0,0.02007979920200798,50.0
2008,84.06812854814761,2009.0,0.02008979910200898,50.0
2009,84.05774619104258,2010.0,0.02009979900200998,50.0
2010,84.04880056194588,2011.0,0.02010979890201098,50.0
2011,84.03922636424765,2012.0,0.02011979880201198,50.0
2012,84.03387860361558,2013.0,0.02012979870201298,50.0
2013,84.02948704580305,2014.0,0.02013979860201398,50.0
2014,84.01574088773656,2015.0,0.020149798502014978,50.0
2015,84.0071421965333,2016.0,0.02015979840201598,50.0
2016,84.00456676145575,2017.0,0.02016979830201698,50.0
2017,83.99962957909639,2018.0,0.02017979820201798,50.0
2018,83.99852949219063,2019.0,0.02018979810201898,50.0
2019,83.93777172819418,2020.0,0.02019979800201998,50.0
3921,63.204129093047314,3922.0,0.03921960780392196,25.0
3922,63.20259147500893,3923.0,0.03922960770392296,25.0
3923,63.19956374860476,3924.0,0.03923960760392396,25.0
3924,63.18233410768377,3925.0,0.03924960750392496,25.0
3925,63.17310768765179,3926.0,0.039259607403925964,25.0
3926,63.15696863157912,3927.0,0.03926960730392696,25.0
3927,63.15675984803583,3928.0,0.03927960720392796,25.0
3928,63.15503801151522,3929.0,0.03928960710392896,25.0
3929,63.15372803557023,3930.0,0.03929960700392996,25.0
3930,63.14559562727229,3931.0,0.03930960690393096,25.0
3931,63.142379369938894,3932.0,0.03931960680393196,25.0
3932,63.13821310577016,3933.0,0.039329606703932964,25.0
3933,63.131586389874855,3934.0,0.03933960660393396,25.0
3934,63.12963014406951,3935.0,0.03934960650393496,25.0
3935,63.11575965563654,3936.0,0.03935960640393596,25.0
3936,63.11235596890391,3937.0,0.03936960630393696,25.0
3937,63.111977776142226,3938.0,0.03937960620393796,25.0
3938,63.09638694719986,3939.0,0.03938960610393896,25.0
3939,63.08505473810088,3940.0,0.03939960600393996,25.0
3940,63.08430001991154,3941.0,0.03940960590394096,25.0
3941,63.08093592582817,3942.0,0.03941960580394196,25.0
3942,63.078202416091216,3943.0,0.03942960570394296,25.0
3943,63.07354676494414,3944.0,0.03943960560394396,25.0
3944,63.06387925974113,3945.0,0.03944960550394496,25.0
3945,63.02938707384997,3946.0,0.03945960540394596,25.0
3946,63.0246595507091,3947.0,0.03946960530394696,25.0
3947,63.02233721286585,3948.0,0.039479605203947964,25.0
3948,63.01651424128892,3949.0,0.03948960510394896,25.0
3949,63.01205608166083,3950.0,0.03949960500394996,25.0
3950,63.004414247405165,3951.0,0.03950960490395096,25.0
3951,62.99522284390311,3952.0,0.03951960480395196,25.0
3952,62.98556858237019,3953.0,0.03952960470395296,25.0
3953,62.974198891079425,3954.0,0.03953960460395396,25.0
3954,62.973400964633555,3955.0,0.03954960450395496,25.0
3955,62.96860204963451,3956.0,0.03955960440395596,25.0
3956,62.9679275069468,3957.0,0.03956960430395696,25.0
3957,62.93992701223786,3958.0,0.03957960420395796,25.0
3958,62.935334690472445,3959.0,0.03958960410395896,25.0
3959,62.92297026535929,3960.0,0.03959960400395996,25.0
3960,62.91875477341253,3961.0,0.03960960390396096,25.0
3961,62.917093125869116,3962.0,0.03961960380396196,25.0
3962,62.91130530079826,3963.0,0.039629603703962964,25.0
3963,62.90734413675666,3964.0,0.03963960360396396,25.0
3964,62.90314860239005,3965.0,0.03964960350396496,25.0
3965,62.902876372511926,3966.0,0.03965960340396596,25.0
3966,62.902693734261405,3967.0,0.03966960330396696,25.0
3967,62.90132541210875,3968.0,0.03967960320396796,25.0
